_________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________
| Student Name            | Subject 1 | Grade 1 | Subject 2 | Grade 2 | Subject 3 | Grade 3 | Subject 4 | Grade 4 | Subject 5 | Grade 5 | Subject 6 | Grade 6 | Subject 7 | Grade 7 | Subject 8 | Grade 8 | Subject 9 | Grade 9 | Subject 10 | Grade 10 |
_________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________
SPWKLZWHCIE GAPCEXAS      | 99        | B       | 100       | B       | 91        | C       | 68        | F       | 72        | D       | 100       | B       | 93        | C       | 74        | D       | 77        | D       | 96        | B         |
FCCEPWNFVV XJMEW          | 100       | B       | 100       | B       | 100       | B       | 92        | C       | 80        | C       | 70        | F       | 84        | C       | 76        | D       | 77        | D       | 80        | D         |
FKAXVFR MAEPRX            | 88        | C       | 100       | B       | 100       | B       | 100       | B       | 93        | B       | 100       | B       | 79        | D       | 73        | D       | 100       | B       | 100       | B         |
UJSYE DTULCICA            | 75        | D       | 84        | C       | 70        | F       | 71        | F       | 72        | D       | 69        | F       | 100       | B       | 80        | C       | 80        | D       | 100       | B         |
UIPXMS SLOVX              | 86        | C       | 71        | F       | 98        | B       | 88        | C       | 72        | D       | 99        | B       | 70        | F       | 85        | C       | 71        | F       | 76        | D         |
WAQGUMH BSPRXASRV         | 97        | B       | 67        | F       | 80        | D       | 100       | B       | 100       | A       | 87        | C       | 90        | C       | 99        | B       | 88        | C       | 66        | F         |
VVXFFGIK OWVQEMVSW        | 84        | D       | 72        | F       | 69        | F       | 76        | D       | 76        | D       | 93        | B       | 100       | B       | 90        | B       | 100       | B       | 72        | D         |
HVPBUM LLWMARC            | 85        | C       | 98        | B       | 100       | B       | 98        | B       | 100       | A       | 100       | B       | 83        | C       | 86        | C       | 93        | C       | 80        | D         |
XMKSPFF NNSRH             | 100       | B       | 72        | F       | 100       | B       | 66        | F       | 75        | D       | 69        | F       | 96        | B       | 77        | D       | 74        | D       | 69        | F         |
YEELIT UEGAINW            | 100       | B       | 100       | B       | 96        | B       | 100       | B       | 93        | B       | 97        | B       | 81        | D       | 97        | B       | 100       | B       | 81        | C         |
OTFI VZQHLLAD             | 100       | B       | 100       | B       | 68        | F       | 79        | D       | 70        | D       | 100       | B       | 81        | D       | 96        | B       | 100       | B       | 100       | B         |
OBWRBCI CWWUZGTD          | 71        | F       | 73        | D       | 89        | C       | 83        | C       | 69        | D       | 89        | C       | 70        | F       | 96        | B       | 93        | C       | 100       | B         |
OKD MGULGFP               | 100       | B       | 83        | C       | 100       | B       | 100       | B       | 100       | A       | 88        | C       | 80        | D       | 97        | B       | 100       | B       | 100       | B         |
DAVWDFT BSJER             | 78        | D       | 95        | B       | 81        | D       | 81        | D       | 100       | A       | 69        | F       | 100       | B       | 94        | B       | 81        | D       | 84        | C         |
DJEOVV TDIZK              | 79        | D       | 67        | F       | 100       | B       | 100       | B       | 66        | F       | 82        | D       | 74        | D       | 92        | B       | 81        | D       | 92        | B         |
Rzg Rjrx                  | 95        | B       | 95        | B       | 78        | D       | 91        | C       | 66        | F       | 100       | B       | 67        | F       | 88        | C       | 87        | C       | 100       | B         |
GYYAVR DZSCM              | 94        | C       | 89        | C       | 100       | B       | 94        | B       | 70        | D       | 99        | B       | 70        | F       | 76        | D       | 100       | B       | 67        | F         |
SEESU JIKYMQ              | 100       | B       | 100       | B       | 79        | D       | 92        | C       | 93        | B       | 80        | D       | 94        | B       | 69        | F       | 100       | B       | 70        | F         |
FYFKENVQ LGJKRRX          | 100       | B       | 91        | C       | 100       | B       | 88        | C       | 95        | B       | 70        | F       | 100       | B       | 82        | C       | 98        | B       | 100       | B         |
GZGILBKIT ICTFQ           | 100       | B       | 83        | C       | 100       | B       | 100       | B       | 100       | A       | 81        | D       | 99        | B       | 70        | D       | 82        | D       | 94        | B         |
TRQHK QCICV               | 80        | D       | 82        | D       | 67        | F       | 66        | F       | 99        | A       | 97        | B       | 95        | B       | 72        | D       | 93        | C       | 67        | F         |
KMPTPTAV OZGASINA         | 88        | C       | 100       | B       | 82        | D       | 100       | B       | 74        | D       | 67        | F       | 100       | B       | 69        | F       | 72        | F       | 69        | F         |
WMWACIX CGLPT             | 81        | D       | 100       | B       | 76        | D       | 74        | D       | 67        | F       | 100       | B       | 99        | B       | 85        | C       | 99        | B       | 89        | C         |
ZBKOGI NTEIUR             | 79        | D       | 76        | D       | 100       | B       | 86        | C       | 100       | A       | 88        | C       | 95        | B       | 100       | A       | 87        | C       | 91        | B         |
DXTPGP NHZRY              | 72        | F       | 100       | B       | 86        | C       | 100       | B       | 68        | D       | 89        | C       | 100       | B       | 84        | C       | 90        | C       | 95        | B         |
_________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________
